iter	Passed	Remaining
0	136	20325
1	142	10548
2	148	7270
3	153	5619
4	159	4614
5	163	3912
6	166	3407
7	169	3015
8	173	2713
9	176	2470
10	179	2271
11	182	2095
12	184	1945
13	187	1819
14	190	1712
15	193	1617
16	195	1532
17	198	1458
18	201	1386
19	202	1319
20	205	1264
21	208	1212
22	210	1162
23	212	1117
24	215	1075
25	216	1034
26	219	998
27	222	967
28	224	936
29	226	907
30	228	878
31	230	851
32	232	825
33	234	801
34	237	780
35	240	760
36	242	739
37	244	719
38	246	700
39	248	682
40	249	664
41	252	648
42	255	634
43	257	619
44	259	605
45	261	591
46	263	577
47	265	564
48	267	551
49	270	540
50	272	529
51	274	517
52	276	506
53	278	495
54	280	485
55	283	475
56	286	467
57	288	457
58	290	448
59	292	439
60	294	430
61	296	421
62	298	412
63	300	404
64	303	397
65	306	389
66	307	381
67	309	373
68	312	367
69	315	360
70	318	354
71	320	347
72	323	340
73	325	334
74	327	327
75	329	320
76	331	314
77	334	308
78	336	302
79	338	296
80	340	290
81	343	284
82	345	279
83	348	273
84	351	269
85	354	263
86	356	258
87	359	252
88	362	248
89	364	243
90	367	238
91	369	232
92	371	227
93	373	222
94	375	217
95	378	212
96	380	207
97	383	203
98	385	198
99	387	193
100	389	189
101	391	184
102	393	179
103	395	174
104	398	170
105	400	166
106	402	161
107	405	157
108	407	153
109	408	148
110	411	144
111	413	140
112	416	136
113	418	132
114	420	128
115	422	123
116	424	119
117	426	115
118	428	111
119	431	107
120	433	103
121	435	99
122	437	96
123	439	92
124	441	88
125	443	84
126	446	80
127	448	77
128	450	73
129	452	69
130	454	65
131	456	62
132	458	58
133	460	55
134	463	51
135	465	47
136	467	44
137	469	40
138	471	37
139	473	33
140	475	30
141	478	26
142	481	23
143	483	20
144	485	16
145	486	13
146	488	9
147	491	6
148	494	3
149	496	0
